"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Adamts2",667.047240543688,0.302815983537319,0.595828220851575,0.508226990498243,0.611294164565256,0.996997576622408,"No"
"Tpd52l2",1622.95166593331,0.302828780705448,0.288559982394499,1.04944829214552,0.293971841788826,0.979512662920684,"No"
"Tbc1d22a",576.859216761605,0.30283454105639,0.272160807179976,1.11270444923442,0.265835384049211,0.975784969513663,"No"
"Pigw",233.057156146582,0.302838608022048,0.326563528283356,0.927349755234388,0.353744968940947,0.986431108036912,"No"
"Zbtb48",263.273098553283,0.302864068467985,0.384359924105279,0.787969945547778,0.430714285838312,0.986431108036912,"No"
"Galnt7",1131.59520254675,0.30297815117155,0.274699993374969,1.10294196752302,0.270052367545572,0.978139748524214,"No"
"Colgalt1",4957.71986810353,0.303006266517321,0.251997478098999,1.20241785276233,0.229201675717724,0.960093796129069,"No"
"Emb",3412.20048778525,0.303042817206838,0.564565619347183,0.536771646770223,0.591425358948076,0.996997576622408,"No"
"Nqo1",429.758185425854,0.303048027208685,0.623601397892213,0.485964316682089,0.626992465896708,0.996997576622408,"No"
"Psmd7",5891.88969363631,0.303114014625405,0.246480360806031,1.22976943734654,0.218783456083974,0.957159169261695,"No"
"Ptpn4",843.773343103986,0.303273825379081,0.213735546475035,1.41892085982294,0.155922090029558,0.916481934440584,"No"
"Btg3",1484.3854146529,0.303335289303837,0.39921012710444,0.759838663172189,0.447351029039194,0.987398247020136,"No"
"Odc1",9177.61830948406,0.303484068701348,0.506607235857931,0.599051981931135,0.549138221017626,0.995015285417731,"No"
"Kank2",2522.17531602162,0.303512379974206,0.208543056111611,1.45539432303978,0.145560127143528,0.906406285888436,"No"
"Acvr1b",209.745260942109,0.303589160450299,0.492541712837146,0.616372486913973,0.53764870760003,0.993510072947053,"No"
"Arl6",261.214150759824,0.303701535944154,0.283957948390667,1.06952996972046,0.284830931884292,0.979512662920684,"No"
"Ecpas",3898.10883726453,0.303957654956573,0.260381762667632,1.16735385705397,0.243067497319236,0.969360940991421,"No"
