"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Rxfp1",356.54830153619,-3.2235202737029,1.15602567571872,-2.7884504136976,0.00529608542999819,0.467943837471296,"No"
"Chst1",149.150279198303,-3.22097328765221,1.30362843181021,-2.47077557458577,0.0134820398409061,0.639073337041511,"No"
"Padi2",691.427368459927,-3.20435336920303,1.04345312455128,-3.07091262061341,0.002134055937688,0.340672493242224,"No"
"Gdpd2",92.7763016041325,-3.18812394851737,1.36912896544856,-2.32857826324116,0.019881418703296,0.700228912043894,"No"
"Epb41l3",1401.14133607417,-3.03266346948499,0.959591172113907,-3.16037033021496,0.00157568724153771,0.307751912403874,"No"
"Tns4",106.388310169455,-3.02232220690449,1.231385331357,-2.4544081612324,0.01411167054761,0.639073337041511,"No"
"Msln",210.298510338473,-3.01888077294345,1.25941291281429,-2.39705401002873,0.0165274873433537,0.661644127715687,"No"
"Slc6a17",372.68604082983,-2.97336486773314,0.97733476338296,-3.04231976507322,0.00234762359979868,0.353451077164626,"No"
"Ccbe1",220.391185541375,-2.96128518466717,1.21387951228687,-2.43952151320876,NA,NA,"No"
"Csgalnact1",52.6954613144108,-2.95877198015211,0.792393693765341,-3.73396709669968,0.000188487129408769,0.0916350446044596,"No"
"Ly6c1",905.41023690502,-2.95289911826801,0.810795375654971,-3.64197824374938,0.000270550943092775,0.110147892019321,"No"
"Peg12",204.501954693045,-2.93106656043938,1.06430307266973,-2.75397735448325,0.00588758417686806,0.484345284992703,"No"
"Hsd11b2",800.943602100911,-2.90478250458982,2.62570423193684,-1.1062870178821,NA,NA,"No"
"Il1rn",168.88492504907,-2.90309942579837,1.66283886969979,-1.74586935553322,0.0808336559126395,0.891061362345414,"No"
"Ccser1",163.326832254335,-2.90173556813133,1.39954924177534,-2.07333581521608,0.0381410377596666,0.777448401182111,"No"
"Prr16",19.9162140890175,-2.87149565266006,1.25318702546768,-2.29135443816811,0.0219429224506099,0.700228912043894,"No"
"Tox",32.5775249877366,-2.86832243068307,1.11886010734086,-2.56361131464422,0.0103589477776663,0.574470030050644,"No"
"Elavl2",82.2552755377344,-2.86746475927769,0.965706395093474,-2.96929250323556,0.0029848632209334,0.388126302217417,"No"
"Rapgef5",36.337812792373,-2.83916072074627,0.921734494188094,-3.08023702991297,0.00206835915623989,0.337000874031743,"No"
"Ropn1l",19.4360619564413,-2.8373177994868,1.23154054624705,-2.30387688666292,0.0212295555097834,0.700228912043894,"No"
"Car2",59.1154443914852,-2.82591879708525,1.4295363093312,-1.97680798916353,NA,NA,"No"
"Zfp536",19.6249605855961,-2.80302936360171,1.48373102638658,-1.88917621438982,0.0588682207659426,0.840338103946895,"No"
"Sorbs2",465.558806223367,-2.79894165675792,2.27433665969287,-1.23066285935693,0.218448984533892,0.991751278852058,"No"
"Hgf",161.288550914876,-2.77632822643267,1.06723514449476,-2.60142129010098,0.00928383663324821,0.572134471066602,"No"
"Gfra1",143.780209010187,-2.77292132387345,1.18612104575709,-2.33780635947111,0.0193972955703642,0.694913956367204,"No"
"Mmp28",73.8938936731399,-2.76647501860052,1.20988293990356,-2.28656420167477,0.0222212727465802,0.700228912043894,"No"
"Cthrc1",342.633240236675,-2.72630244847999,1.14755289968024,-2.37575317812334,0.0175131732519498,0.674034703173251,"No"
"Ripor3",61.5384936159288,-2.72324864784201,1.38812922248723,-1.9618120587956,0.0497843692253448,0.820976806293397,"No"
"Sh2d3c",69.3827255014426,-2.72143791277231,0.966699290392715,-2.81518559061603,0.00487490721817233,0.456552334275132,"No"
"Gprin3",326.05894560262,-2.69135943895747,0.680131164721496,-3.95711824212546,7.58593858155803e-05,0.0501261963828062,"No"
"Tafa5",222.337742207882,-2.6646164396275,1.2378392037241,-2.15263535975502,0.031347347294448,0.750335493346713,"No"
"Kif26b",619.140404099278,-2.66210162963083,0.666673878028924,-3.99310925081024,6.52125032924329e-05,0.0484773446350123,"Yes"
"Pdgfd",209.703235503933,-2.65385878803328,1.25760450891555,-2.11024910392675,0.0348369049876003,0.766521138318526,"No"
"Tcp11l1",492.279021082291,-2.65194414255639,0.886614841136314,-2.99108927520047,0.0027798421098701,0.384421798526897,"No"
"Ly6a",1984.12638967401,-2.65115381313209,0.872589877037309,-3.0382587317349,0.0023794955937608,0.353771507402387,"No"
"Cadm1",454.375076660984,-2.61878285935031,1.12869667462994,-2.32018302012709,0.020330978745914,0.700228912043894,"No"
"Tnnc1",246.006401548134,-2.61839224394873,1.5695215854066,-1.66827412142307,NA,NA,"No"
"Asb4",37.6489454559744,-2.59487056996229,1.0341499455338,-2.50918213666094,0.0121011070868015,0.630384251683638,"No"
"Ntrk2",66.5376792177776,-2.58493664363015,1.15734418185873,-2.23350726961677,0.0255155114695754,0.724541811161111,"No"
"Gm53808",99.3676708658041,-2.56602337279677,0.77209612242136,-3.32345066667282,0.000889111475064451,0.23374522517026,"No"
"Sfrp2",3211.57233014758,-2.54992028367504,1.28204015561958,-1.98895508264537,0.0467061610390323,0.812251686959425,"No"
"Pitx1",481.682503167801,-2.54397451232303,1.9666513616977,-1.29355642889696,0.19581868079327,0.987686898428647,"No"
"Fbn2",2180.06619589578,-2.51938238848661,1.33893262010473,-1.88163493118088,0.059885600026639,0.841755596983146,"No"
"Abcc3",143.97980732844,-2.51057180235727,0.814480390627292,-3.08242142014455,0.00205323932154117,0.337000874031743,"No"
"Gm53357",79.4231746134845,-2.50361496198998,1.01027126031395,-2.47816112398561,0.0132061493345067,0.639073337041511,"No"
"Lrrc75b",632.164771809737,-2.49297843900321,0.681370235500769,-3.65877214635155,0.00025342653007035,0.110147892019321,"No"
"Cdh15",60.8623073383336,-2.49283528488188,1.74137668486356,-1.43153133181934,0.152277993941274,0.964941108118015,"No"
"Dnm3",71.2985618152897,-2.47431092725061,0.910176763305823,-2.71849494186574,0.0065579658438095,0.500002857347886,"No"
"Otogl",38.6243219575007,-2.46341694588548,1.16296301717268,-2.11822466364785,0.0341560453631186,0.766521138318526,"No"
"Lpl",1312.83365814583,-2.43409720252349,0.47934328954496,-5.07798326505034,3.81462285398381e-07,0.00151237080750945,"Yes"
"Ephb6",217.744571824644,-2.4322199097091,1.15490368708999,-2.10599371782904,0.0352048980482955,0.766521138318526,"No"
"Gata4",364.082187093635,-2.42471600726042,2.60713815789605,-0.930029733912204,NA,NA,"No"
"Col24a1",53.3436390292968,-2.42023902497346,1.32148128464372,-1.83145917622736,NA,NA,"No"
"Aspn",1263.69098691636,-2.4093629081071,1.39948210937898,-1.72161036712091,0.0851401239258423,0.898310998195413,"No"
"L1cam",51.919495461359,-2.40712262814605,0.962392708638378,-2.50118543764917,0.0123778347654694,0.630384251683638,"No"
"Gper1",67.1805250799878,-2.39870850594138,1.2556028881563,-1.91040378177498,0.0560812443082425,0.840338103946895,"No"
"Shroom4",227.716353314929,-2.39736328992497,0.987128572575918,-2.42862313636514,0.0151562774371791,0.661644127715687,"No"
"Gpx3",1494.58708832313,-2.39335227347846,1.40914458440503,-1.69844336767542,0.089424112822661,0.900556609516864,"No"
"Sobp",131.902197034786,-2.37243432963564,1.35403689234892,-1.75211941642155,0.0797532762451191,0.889967318784624,"No"
"Tmem100",106.969993807623,-2.36707312630837,0.998435661224241,-2.37078183225744,0.0177505052442752,0.67450261435769,"No"
"Egr3",129.362800473805,-2.36164267775746,0.864399042530665,-2.73212088579295,0.00629280472089714,0.49759775672097,"No"
"Ggt1",58.0666728116709,-2.3561974819508,1.47795384280758,-1.59422940940759,NA,NA,"No"
"Chn2",37.2093307359195,-2.35151378089014,1.47482344419401,-1.59443748344754,0.1108380825852,0.915471320589393,"No"
"Pi15",72.5300304051836,-2.34258562135809,1.08999912856849,-2.14916283872138,0.0316214939311349,0.753719536707251,"No"
"Id4",231.6200629423,-2.340064138062,1.07613918118779,-2.174499524754,0.0296676410543733,0.738801519486435,"No"
"Stmn2",32.581397952612,-2.32980028566144,1.55366828363588,-1.49954807612425,0.133731506408396,0.948684752357377,"No"
"Gm54333",104.202718165314,-2.30504914658974,0.963537260133144,-2.39227816293396,0.0167441468339013,0.661644127715687,"No"
"Lhx9",36.9944930813108,-2.29076707850985,1.67582165867331,-1.36695158858573,0.171640480259993,0.98420133994625,"No"
"Lin7a",18.2585131367549,-2.2843393733882,1.18663373235288,-1.92505851730573,0.0542220378624203,0.835998514815668,"No"
"Pparg",168.110649632395,-2.27771628710877,1.39191226481745,-1.63639357499842,0.101757243005528,0.914412722662219,"No"
"Myo5c",44.5509148155396,-2.27483225420364,1.06517039746657,-2.13565102786762,0.0327078688625094,0.758337996590033,"No"
"Cdh3",659.032519606708,-2.27412382292758,0.76859086777387,-2.95882233094221,0.00308817090744825,0.390752178438187,"No"
"Ccn3",2302.60541453042,-2.26166840878995,1.93635381662037,-1.16800369301173,NA,NA,"No"
"Ctla2a",52.8719471402287,-2.25930913313055,1.48205085591142,-1.5244477772938,0.127396892870352,0.934178795112139,"No"
"Cygb",273.920044571378,-2.25881030526123,0.632350037986975,-3.57208851042681,0.000354145670149558,0.12764268487148,"No"
"Bmp2",83.3955176409398,-2.22508661092974,1.276756120429,-1.74276557231784,NA,NA,"No"
"Carmil3",23.9358208034541,-2.2022812995014,1.2173217219684,-1.80912018553347,0.0704323337625473,0.866737854197164,"No"
"Mdga1",149.855084860063,-2.19968029116004,1.23147488140295,-1.78621612537811,0.0740642711442395,0.876739881546465,"No"
"Efemp1",490.097967643245,-2.18490781178153,1.15190846435772,-1.89677207815274,NA,NA,"No"
"Gldc",233.593439165947,-2.16576718741347,1.42387181824778,-1.52104084065563,0.128249588780887,0.936278611357261,"No"
"Shc2",81.0715392852626,-2.1634798345641,0.843646146654747,-2.56443989360089,0.0103342476777062,0.574470030050644,"No"
"Aqp5",322.196929411115,-2.16024552420324,0.863299383153628,-2.50231329519995,0.0123384685048812,0.630384251683638,"No"
