"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","Significant"
"Amz2",0.27536695912591,6.0943759364615,4.46624767498336,3.37477710297213e-05,6.37585984412924e-05,0.852558524015235,"Amz2","No"
"Erap1",0.275333929251733,4.0898460804509,2.26981617084533,0.0266524797066512,0.0360236685709392,-4.74209815664509,"Erap1","No"
"1700025G04Rik",0.275264329899186,6.00090962419931,4.13771869261545,0.000106002615291844,0.000189633250051744,-0.223924965666084,"1700025G04Rik","No"
"Pakap",-0.275248154743046,8.14250468151873,-8.08209222837217,2.57519966629612e-11,8.90419389695617e-11,14.232472650424,"Pakap","No"
"Potefam3e",0.275121547794419,0.715384160944541,0.694579965778528,0.48987396629161,0.53143078036571,-5.85809747140541,"Potefam3e","No"
"Cwf19l2",0.275036622703613,5.05536715248625,3.17555243408564,0.00231604920076819,0.00357271784904089,-2.84557662538019,"Cwf19l2","No"
"St6gal1",-0.275027654102635,4.811155226532,-2.84627873549881,0.00596382930843819,0.00876094181498545,-3.63371202044004,"St6gal1","No"
"Trps1",-0.275000762261092,5.34504812848369,-3.47738457084076,0.000923571547873739,0.00149269313606185,-2.06966233172567,"Trps1","No"
"Trmt10b",-0.274950228992883,3.65009166535598,-1.81074367838723,0.0749523266463217,0.0948443454626573,-5.46209953638681,"Trmt10b","No"
"Htra2",-0.274873565934295,5.5287864616241,-3.70779224010908,0.000443830927461934,0.000742178348592809,-1.43433521015804,"Htra2","No"
"Praf2",0.274805444595467,5.8298551975365,4.07017139009901,0.00013343828337023,0.000236262474784105,-0.388941558887925,"Praf2","No"
"Rpl17",0.274773626111927,10.0169697341766,12.5666540092707,8.15954044189001e-19,6.20686188112596e-18,31.1331559991409,"Rpl17","No"
"Psmd1",0.274773378880383,7.12372192390724,6.15925126667397,5.69139092643527e-08,1.42488727192572e-07,6.81689445404514,"Psmd1","No"
"Osbpl8",0.274590734514393,5.80035983491015,4.04383669176662,0.000145893201274331,0.000257251109685903,-0.465061218165729,"Osbpl8","No"
"Fktn",0.27457809718592,4.62173461618381,2.68345072379987,0.00929843727102823,0.0133377411212047,-3.98345782330878,"Fktn","No"
"Hsd3b7",0.274567406507002,4.82167675498926,2.85940643667444,0.00575004437357096,0.00846093437698491,-3.61091060170096,"Hsd3b7","No"
"Gns",0.274490883583454,7.71481041036007,7.25739980598895,7.12804127029205e-10,2.16318289487555e-09,11.0143374295568,"Gns","No"
"Steap2",-0.274446425752605,6.49586137078078,-5.10350274417636,3.30764192816925e-06,6.989117948825e-06,2.99976685046026,"Steap2","No"
"Utrn",0.274422828222008,7.42704309770233,6.64471999576864,8.30484676624374e-09,2.28237134524057e-08,8.64443751200958,"Utrn","No"
"Zmynd11",0.274342664357139,6.584625854792,5.08794282435541,3.50551863767101e-06,7.38021481307614e-06,2.90840682321849,"Zmynd11","No"
"Palld",-0.274227409562614,8.50751106872418,-8.72431367046668,1.95679571166234e-12,7.590505607098e-12,16.7286223885577,"Palld","No"
"Jcad",0.274214527352798,6.22977712409308,4.68793283563852,1.52567491164016e-05,2.9931730382961e-05,1.5808211682619,"Jcad","No"
"Rps28",0.274158939290139,8.25457148906439,6.96910117478588,2.26911025277787e-09,6.55071106902423e-09,9.73039414365947,"Rps28","No"
"Ube2l6",-0.274105337623373,3.55638414687196,-1.8297535919855,0.0720221700454276,0.0914766323971875,-5.39494730661508,"Ube2l6","No"
"Rnf185",-0.27399933119439,4.94974125201563,-3.00897089804138,0.00376647882346423,0.00567172318805039,-3.25584185272172,"Rnf185","No"
"Adamts14",-0.273977046071536,4.9104285308054,-2.96990644148595,0.0042118338847306,0.00630089969411856,-3.34610065733066,"Adamts14","No"
